index,Country,Target Text,Target Name,index,Country,Target Text,Target Name,generated_sample
0,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,Target 4,6,Sri Lanka,Adopt renewable energy for livestock applications,NDC 6 - Agriculture (mitigation),No alignment
1,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,Target 5,6,Sri Lanka,Adopt renewable energy for livestock applications,NDC 6 - Agriculture (mitigation),No alignment
0,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,Target 4,7,Sri Lanka,Climate change considerations mainstreamed into agriculture in the country,NDC 1 - Agriculture (adaptation),Alignment opportunities
1,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,Target 5,7,Sri Lanka,Climate change considerations mainstreamed into agriculture in the country,NDC 1 - Agriculture (adaptation),Alignment opportunities
0,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,Target 4,8,Sri Lanka,Promote Integrated Pest Management (IPM) and Integrated Plant and Nutrition Systems (IPNS) in most vulnerable areas/districts/crops,NDC 2 - Agriculture (adaptation),Alignment opportunities
1,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,Target 5,8,Sri Lanka,Promote Integrated Pest Management (IPM) and Integrated Plant and Nutrition Systems (IPNS) in most vulnerable areas/districts/crops,NDC 2 - Agriculture (adaptation),Alignment opportunities
0,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,Target 4,9,Sri Lanka,Develop/introduce varieties resistant/tolerant to biotic and abiotic stresses targeting most vulnerable agricultural crops to climate change,NDC 3 - Agriculture (adaptation),Alignment opportunities
1,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,Target 5,9,Sri Lanka,Develop/introduce varieties resistant/tolerant to biotic and abiotic stresses targeting most vulnerable agricultural crops to climate change,NDC 3 - Agriculture (adaptation),Alignment opportunities
0,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,Target 4,10,Sri Lanka,Revisit the Agro Ecological Regions (AERs) maps of the country with current and future climate scenarios and recommend appropriate crops for different regions to reduce vulnerability to climate change impacts,NDC 4 - Agriculture (adaptation),Alignment opportunities
1,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,Target 5,10,Sri Lanka,Revisit the Agro Ecological Regions (AERs) maps of the country with current and future climate scenarios and recommend appropriate crops for different regions to reduce vulnerability to climate change impacts,NDC 4 - Agriculture (adaptation),Alignment opportunities
0,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,Target 4,11,Sri Lanka,Enhance sustainable land and water management pratices in areas where anticipated climate vulnerability is severe,NDC 5 - Agriculture (adaptation),Alignment opportunities
1,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,Target 5,11,Sri Lanka,Enhance sustainable land and water management pratices in areas where anticipated climate vulnerability is severe,NDC 5 - Agriculture (adaptation),Alignment opportunities
0,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,Target 4,12,Sri Lanka,Enhanced early warning and risk management mechanisms introduced to reduce climate change vulnerability,NDC 6 - Agriculture (adaptation),Alignment opportunities
1,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,Target 5,12,Sri Lanka,Enhanced early warning and risk management mechanisms introduced to reduce climate change vulnerability,NDC 6 - Agriculture (adaptation),Alignment opportunities
0,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,Target 4,13,Sri Lanka,Introduce adaptation measures to address adverse impacts of climate change on ruminant livestock,NDC 1 - Livestock,No alignment
1,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,Target 5,13,Sri Lanka,Introduce adaptation measures to address adverse impacts of climate change on ruminant livestock,NDC 1 - Livestock,No alignment
0,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,Target 4,14,Sri Lanka,Introduce technological innovations and interventions to build resilience in poultry and swine farming,NDC 2 - Livestock,No alignment
1,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,Target 5,14,Sri Lanka,Introduce technological innovations and interventions to build resilience in poultry and swine farming,NDC 2 - Livestock,No alignment
0,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,Target 4,15,Sri Lanka,"Improve research, education, awareness and capacity building for climate change adaptation",NDC 3 - Livestock,Alignment opportunities
1,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,Target 5,15,Sri Lanka,"Improve research, education, awareness and capacity building for climate change adaptation",NDC 3 - Livestock,Alignment opportunities
0,Sri Lanka,Reduce rate of soil degradation to improve land productivity and Soil Organic Carbon (SOC) stocks,Target 4,16,Sri Lanka,"Restore, rehabilitate and augment 25 major/medium reservoirs and 300 minor irrigation systems and 200km length of irrigation canals of the country for enhancing climate resilience in the agriculture sector",NDC 7 - Water,Alignment opportunities
1,Sri Lanka,Reduce soil erosion of lands cultivated with annual and plantation crops,Target 5,16,Sri Lanka,"Restore, rehabilitate and augment 25 major/medium reservoirs and 300 minor irrigation systems and 200km length of irrigation canals of the country for enhancing climate resilience in the agriculture sector",NDC 7 - Water,Alignment opportunities
