index,Country,NBT Name/Title,NBT Text,index,Country,Number ,Type,Mitigation or adaptation,NDC Target Text,generated_sample
10,Belize,TARGET A4,"By 2020, 100% of relevant Government, 75% of civil society and 50% of the general public in Belize have increased awareness and appreciation of biodiversity and demonstrate active good stewardship.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
11,Belize,TARGET B6,"By 2018, Belize has a strengthened system in place for early detection and effective management of invasive species.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
12,Belize,GOAL C (PROTECTION),Functional ecosystems and viable populations of Belizes biodiversity are maintained and strengthened,0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
13,Belize,TARGET C1,"By 2030, Belizes natural landscapes and seascapes are all functional and build biodiversity resilience to climate change.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
14,Belize,TARGET C2,"By 2020, three key corridors identified under the National Protected Areas Policy and System Plan are physically and legally established, and effectively managed.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
15,Belize,TARGET C3,"Between 2016 and 2030, no species will become functionally extinct in Belize.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
16,Belize,TARGET C4,"By 2020, average management effectiveness of the National Protected Areas System has increased to 80%.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
17,Belize,TARGET C5,"By 2020, Belize is implementing a biosafety policy that safeguards against large-scale loss of biological integrity.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
18,Belize,GOAL D (BENEFITS),"Strengthened provision of ecosystem services, ecosystem-based management and the equitable sharing of benefits from biodiversity.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
19,Belize,TARGET D1,"By 2025, key ecosystem services are sustainably managed and resilient to threats.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
20,Belize,TARGET D2,"By 2025, access to genetic resources and associated traditional knowledge is regulated and benefits arising from utilization are shared in a fair and equitable manner.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
21,Belize,GOAL E (IMPLEMENTATION),"The National Biodiversity Strategy and Action Plan is implemented effectively through capacity building, informed strategic decision making and integrated public participation.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
22,Belize,TARGET E1,"By 2020, all relevant government Ministries, 75% of relevant civil society, and 25% of the private sector and general public are effectively involved in the implementation of the NBSAP.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
23,Belize,TARGET E2,"By 2020, accurate and current data on Belize's natural resources and environmental services informs relevant national development decisions.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
24,Belize,TARGET E3,"By 2020, Belize's NBSAP is being implemented effectively, monitored and evaluated, and achieving desired outcomes.",0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",#No.
0,Belize,GOAL A (MAINSTREAMING),"Improved environmental stewardship is demonstrated across all society in Belize, with an understanding and appreciation of marine, freshwater and terrestrial biodiversity, its benefits and values.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
1,Belize,TARGET A1,"By 2020, a framework has been designed and adopted to guide the harmonization of policies that positively impact biodiversity, across all Government departments.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
2,Belize,TARGET A2,"By 2020, Belize has legislated and implemented a national harmonized system of environmental standards and incentives that promote environmental responsibility and sustainability.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
3,Belize,TARGET A3,"By 2020, 100% of relevant national development decisions in Belize take into consideration ecosystem services and biodiversity relevance to the national economy.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
4,Belize,GOAL B (PRESSURES),"Direct and indirect pressures on Belizes marine, freshwater and terrestrial ecosystems are reduced to sustain and enhance national biodiversity and ecosystem services.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
5,Belize,TARGET B1,"By 2020, primary extractive natural resource use in terrestrial, freshwater and marine environments is guided by sustainable management plans, with improved biodiversity sustainability.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
6,Belize,TARGET B2,"By 2020, 80% of businesses monitored in Belize are compliant with environmental standards.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
7,Belize,TARGET B3,"Between 2016 and 2020, Belize has limited its net rate of land use change for prioritized natural ecosystems/areas to no more than 0.6% per year.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
8,Belize,TARGET B4,"By 2020, Belize is restoring 30% of degraded ecosystems to maintain and improve the status of ecosystems and ecosystem services essential for increasing Belizes resilience to climate change impacts.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
9,Belize,TARGET B5,"By 2025, Belize is addressing its trans-boundary issues, with 20% reduction in terrestrial impacts and 50% reduction in illegal fishing from trans-boundary incursions.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
10,Belize,TARGET A4,"By 2020, 100% of relevant Government, 75% of civil society and 50% of the general public in Belize have increased awareness and appreciation of biodiversity and demonstrate active good stewardship.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
11,Belize,TARGET B6,"By 2018, Belize has a strengthened system in place for early detection and effective management of invasive species.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
12,Belize,GOAL C (PROTECTION),Functional ecosystems and viable populations of Belizes biodiversity are maintained and strengthened,1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
13,Belize,TARGET C1,"By 2030, Belizes natural landscapes and seascapes are all functional and build biodiversity resilience to climate change.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
14,Belize,TARGET C2,"By 2020, three key corridors identified under the National Protected Areas Policy and System Plan are physically and legally established, and effectively managed.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
15,Belize,TARGET C3,"Between 2016 and 2030, no species will become functionally extinct in Belize.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
16,Belize,TARGET C4,"By 2020, average management effectiveness of the National Protected Areas System has increased to 80%.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
17,Belize,TARGET C5,"By 2020, Belize is implementing a biosafety policy that safeguards against large-scale loss of biological integrity.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
18,Belize,GOAL D (BENEFITS),"Strengthened provision of ecosystem services, ecosystem-based management and the equitable sharing of benefits from biodiversity.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
19,Belize,TARGET D1,"By 2025, key ecosystem services are sustainably managed and resilient to threats.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
20,Belize,TARGET D2,"By 2025, access to genetic resources and associated traditional knowledge is regulated and benefits arising from utilization are shared in a fair and equitable manner.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
21,Belize,GOAL E (IMPLEMENTATION),"The National Biodiversity Strategy and Action Plan is implemented effectively through capacity building, informed strategic decision making and integrated public participation.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
22,Belize,TARGET E1,"By 2020, all relevant government Ministries, 75% of relevant civil society, and 25% of the private sector and general public are effectively involved in the implementation of the NBSAP.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
23,Belize,TARGET E2,"By 2020, accurate and current data on Belize's natural resources and environmental services informs relevant national development decisions.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
24,Belize,TARGET E3,"By 2020, Belize's NBSAP is being implemented effectively, monitored and evaluated, and achieving desired outcomes.",1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",#No.
0,Belize,GOAL A (MAINSTREAMING),"Improved environmental stewardship is demonstrated across all society in Belize, with an understanding and appreciation of marine, freshwater and terrestrial biodiversity, its benefits and values.",2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",#No.
1,Belize,TARGET A1,"By 2020, a framework has been designed and adopted to guide the harmonization of policies that positively impact biodiversity, across all Government departments.",2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",#No.
2,Belize,TARGET A2,"By 2020, Belize has legislated and implemented a national harmonized system of environmental standards and incentives that promote environmental responsibility and sustainability.",2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",#No.
3,Belize,TARGET A3,"By 2020, 100% of relevant national development decisions in Belize take into consideration ecosystem services and biodiversity relevance to the national economy.",2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",#No.
4,Belize,GOAL B (PRESSURES),"Direct and indirect pressures on Belizes marine, freshwater and terrestrial ecosystems are reduced to sustain and enhance national biodiversity and ecosystem services.",2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",#No.
5,Belize,TARGET B1,"By 2020, primary extractive natural resource use in terrestrial, freshwater and marine environments is guided by sustainable management plans, with improved biodiversity sustainability.",2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",#No.
6,Belize,TARGET B2,"By 2020, 80% of businesses monitored in Belize are compliant with environmental standards.",2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",#No.
7,Belize,TARGET B3,"Between 2016 and 2020, Belize has limited its net rate of land use change for prioritized natural ecosystems/areas to no more than 0.6% per year.",2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",#No.
8,Belize,TARGET B4,"By 2020, Belize is restoring 30% of degraded ecosystems to maintain and improve the status of ecosystems and ecosystem services essential for increasing Belizes resilience to climate change impacts.",2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025","#Yes. #1. Similarities: The NDC Target and the NBT both mention the restoration of degraded ecosystems. 2. Recommendations: To further align the NDC Target Text with the NBT, it could include specific targets for the restoration of degraded ecosystems, such as setting a percentage or number of hectares to be restored by a certain timeframe. Additionally, the NDC Target could consider incorporating the objective of improving the status of ecosystems and ecosystem services essential for increasing resilience to climate change impacts, as mentioned in the NBT."
9,Belize,TARGET B5,"By 2025, Belize is addressing its trans-boundary issues, with 20% reduction in terrestrial impacts and 50% reduction in illegal fishing from trans-boundary incursions.",2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",#No.
10,Belize,TARGET A4,"By 2020, 100% of relevant Government, 75% of civil society and 50% of the general public in Belize have increased awareness and appreciation of biodiversity and demonstrate active good stewardship.",2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",#No.
11,Belize,TARGET B6,"By 2018, Belize has a strengthened system in place for early detection and effective management of invasive species.",2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",#No.
12,Belize,GOAL C (PROTECTION),Functional ecosystems and viable populations of Belizes biodiversity are maintained and strengthened,2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",#No.
13,Belize,TARGET C1,"By 2030, Belizes natural landscapes and seascapes are all functional and build biodiversity resilience to climate change.",2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",#No.
14,Belize,TARGET C2,"By 2020, three key corridors identified under the National Protected Areas Policy and System Plan are physically and legally established, and effectively managed.",2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",#No.
15,Belize,TARGET C3,"Between 2016 and 2030, no species will become functionally extinct in Belize.",2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",#No.
16,Belize,TARGET C4,"By 2020, average management effectiveness of the National Protected Areas System has increased to 80%.",2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",#No.
17,Belize,TARGET C5,"By 2020, Belize is implementing a biosafety policy that safeguards against large-scale loss of biological integrity.",2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",#No.
