index,Country,NBT Name/Title,NBT Text,Unnamed: 3,Unnamed: 4,index,Country,Theme,Mitigation and Adaptation Component,Mitigation and Adaptation Component Text,generated_sample,0.020030234
1228,Costa Rica,M.11.,"By 2020, the weighted valuation of indicators and benchmarks will be improved in the first three priority watersheds: Jesús María and Barranca.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1229,Costa Rica,M.12.,"By 2020, the area of wetlands under the RAMSAR category will have increased to 589,742 ha.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1230,Costa Rica,M.13.,"By 2020, seven local management plans will have been developed at RAMSAR areas.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1231,Costa Rica,M.14.,"By 2020, mangroves will recover two points above the coverage determined for this ecosystem (725 ha).",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1232,Costa Rica,M.15.,Increases the percentage of coral reef cover under restoration and protection processes.,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1233,Costa Rica,M.16.,"By 2020, to have 30% of the national inventory of aquifers geo-referenced and categorized.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1234,Costa Rica,M.17.,"By 2020, 15 plans for the sustainable use of aquifers will have been developed.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1235,Costa Rica,M.18.,To have a national list of endangered and threatened species updated every five years.,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1236,Costa Rica,M.19.,"The number of seized species of fauna and flora (including products and by-products, especially CITES) is reduced.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1237,Costa Rica,M.20.,"Determine the number of areas with captive wildlife and their status, as well as systematized Ex Situ collections.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1238,Costa Rica,M.21.,Improve public awareness of the illegality and problems associated with wildlife trade and possession (linked to topic 5).,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1239,Costa Rica,M.22.,Eight initiatives or projects to improve the conservation of wild relatives of crops important for food and agriculture by 2020.,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1240,Costa Rica,M.23.,Conservation measures for endangered native forest species are improved.,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1241,Costa Rica,M.24.,"By 2020, measures for seed conservation and production (food and native forest) will be supported and established in indigenous peoples and local communities with cultural and gender-sensitive relevance.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1242,Costa Rica,M.25.,"By 2020, the main agroecosystems will be characterized and geographically identified.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1243,Costa Rica,M.26.,"By 2020, to have a biodiversity characterization of at least three productive systems (forestry, agriculture, aquaculture and fisheries) and in health (vectors).",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1244,Costa Rica,M.27.,"By 2018, the country will have defined a list of priority invasive species to develop protocols and management measures.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1245,Costa Rica,M.28.,"By 2020, better knowledge and technical provisions will be in place to control at least five prioritized invasive species.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1246,Costa Rica,M.29.,"By 2020, capacities will be strengthened to assess, avoid and prevent the risks of introducing LMOs (living modified organisms) into their environment, as well as possible impacts resulting from synthetic biology.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1247,Costa Rica,M.30.,"By 2018, cumulative impact assessment methods will be determined.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1248,Costa Rica,M.31.,"By 2018, establish a digital platform that allows citizens and public institutions to carry out their procedures before SETENA in a structured, accessible and online way; including geospatial data to update and feedback MINAE's thematic maps.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1249,Costa Rica,M.32.,"By 2020, technical tools will be available to assess ecological limits, particularly freshwater and coastal marine.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1250,Costa Rica,M.33.,"By 2020, a technical instrument will be implemented for the environmental assessment of plans, authorization for the use and exploitation of natural resources, and human activities developed in coastal and marine areas. This instrument will be developed with a focus on rights, gender and cultural relevance.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1251,Costa Rica,M.34.,Decrease by 10% the number of forest fires outside the PSAs.,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1252,Costa Rica,M.35.,Maintain 90% of the forest fires attended in the PNE level 1.,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1253,Costa Rica,M.36.,Decrease by 5% the number of forest fires within the PSAs.,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1254,Costa Rica,M.37.,Increase by 25% the number of kilometers of mitigation works constructed within the PSAs.,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1255,Costa Rica,M.38.,"By 2020, there will be a trend towards a reduction in the net consumption of agrochemicals in the country, based on the implementation of sustainable practices.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1256,Costa Rica,M.39.,"By 2020, at least 90% of erosion complaints will be addressed and resolved.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1257,Costa Rica,M.40.,"By 2020, there will be a nationwide scheduling and monitoring of reservoir releases.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1258,Costa Rica,M.41.,"By 2020, reduce to 50% the number of environmental complaints related to illegal detour of water bodies.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1259,Costa Rica,M.42.,"By 2018, there will be a system in place that publishes images of forest cover loss and gain and land uses from 2017 onwards.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1260,Costa Rica,M.43.,"By 2020, baseline populations of priority species will be known.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1261,Costa Rica,M.44.,"By 2020, hydrobiological resource stocks will be sustainably managed using the ecosystem-based approach.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1262,Costa Rica,M.45.,"By 2020, efforts will be strengthened and coordinated to monitor complaints and resolutions related to biodiversity issues.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1263,Costa Rica,M.46.,"By 2020, the capacities of the planning processes for the protection, prevention and control of impacts inside and outside the protected wildlife areas under the administration or guardianship of SINAC will be strengthened.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1264,Costa Rica,M.47.,"By 2020, there will be 12 new organized groups that will officially contribute to SINAC's prevention, protection and control activities.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1265,Costa Rica,M.48.,"By 2018, 800 hectares will have been acquired within national parks and biological reserves.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1266,Costa Rica,M.49.,"By 2020, a financial mechanism will be in place for the acquisition of privately owned lands located in NP and BR pending acquisition by the State.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1267,Costa Rica,M.50.,"By 2020, the delimitation of the baseline of the coastline and the different maritime zones of the country's marine territory will be made official, taking into account climate scenarios.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1268,Costa Rica,M.51.,"In 2018, the methodology for the development of regulatory plans will be made official, which will incorporate the approach and climate risks, based on a rights-based approach, gender and cultural relevance.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1269,Costa Rica,M.52.,"By 2018, tools will be available to integrate the ecosystem approach into rural development plans, taking into account vulnerability to climate change and the respective adaptation and mitigation measures, based on a rights, gender and culturally relevant approaches.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1270,Costa Rica,M.53.,"By 2020, fishery management plans will be developed based on a rights, gender and culturally relevant approaches.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1271,Costa Rica,M.54.,"By 2020, the National Interinstitutional Plan for the Management of Tourism and Marine Sports Activities will be implemented.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1272,Costa Rica,M.55.,"Generate scientific information (environmental-social-economic) of the marine territory, considering biological and oceanographic indicators and environmental and climate change phenomena.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1273,Costa Rica,M.56.,"By 2020, there will be a validated methodology for the integration of the ecosystem approach or ecosystem approach at least in the productive sectors of agriculture, forestry, energy, water and land use planning.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1274,Costa Rica,M.57.,Increases the percentage of production under sustainable production practices.,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1275,Costa Rica,M.58.,"By 2018, the organic agriculture extension service will have increased by 2,150 hectares more than in 2014.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1276,Costa Rica,M.59,"By 2020, incentives will be promoted for indigenous production practices (agroforestry) that promote conservation and sustainable use and food security.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1277,Costa Rica,M.60.,Increase the implementation of sustainable production practices in fisheries and aquaculture.,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1278,Costa Rica,M.61.,"By 2020, 20 communities distributed in the coastal areas of the national territory will apply guidelines to improve the sustainability of fishery resources and their quality of life.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1279,Costa Rica,M.62.,"By 2020, the number of tourism businesses with CST tourism sustainability certificates will increase.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1280,Costa Rica,M.63.,"By 2020, there will be 40 indigenous community groups (at least two experiences for each of the indigenous territories where there is potential -approximately 20-) with incentives for the development of sustainable tourism activities.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1281,Costa Rica,M.64.,"Increases the implementation of sustainable forest management practices, including traditional knowledge for forest restoration.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1282,Costa Rica,M.65.,"By 2018, there will be a system that allows the analysis for the identification of economic and non-economic incentives on biodiversity (positive and negative).",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1283,Costa Rica,M.66.,"By 2020, at least 300,000 ha per year of forest and plantations under PPSA will be maintained on the mainland.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1284,Costa Rica,M.67.,"By 2020, increase the number of small beneficiaries (local communities, indigenous peoples, small producers) of existing or new incentives.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1285,Costa Rica,M.68.,"In 2018, the implementation of the National Education for Life Program (culture for conservation, sustainable use and fair and equitable distribution of the benefits of biodiversity) will begin.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1286,Costa Rica,M.69.,"By 2025, Costa Ricans will be aware of the values of biodiversity and the measures required to conserve and use it sustainably.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1287,Costa Rica,M.70.,"By 2020, at least 74 schools (3 schools for each of the 24 indigenous territories) will be implementing biodiversity-enhanced curricula within their formal education.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1288,Costa Rica,M.71.,"By 2020, Costa Rica will recognize different forms of governance in wild protected areas and will have at least 10% of these with effective governance mechanisms other than governmental.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1289,Costa Rica,M.72.,"By 2020, areas for the care, use and management of biodiversity will be recognized under indigenous peoples' governance models.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1290,Costa Rica,M.73.,"By 2020, they will update and establish community ASP (Acronym in Spanish) management plans and protocols that contemplate the cultural uses of indigenous peoples.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1291,Costa Rica,M.74.,"By 2020, two additional Marine Responsible Fishing Areas will be created.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1292,Costa Rica,M.75.,"By 2020, 220 private affiliated reserves will be published.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1293,Costa Rica,M.76.,"By 2020, it will publish at least one improved and updated executive order.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1294,Costa Rica,M.77.,"By 2020, an executive decree will be in place.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1295,Costa Rica,M.78.,"By 2020, a participatory and consultative mechanism will be in place.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1296,Costa Rica,M.79.,"By 2020, 30 community-based adaptation pilot projects will have been developed.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1297,Costa Rica,M.80.,"By 2020, the practices of indigenous peoples and local communities will be systematized to strengthen their adaptive capacity in the face of climate change.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1298,Costa Rica,M.81.,"By 2020, 12 marine SICOs (Acronym in Spanish) will be attended and technical studies requested by the Biodiversity Law will be available.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1299,Costa Rica,M.82.,"As of 2018, the number of communities under some governance model for the protection and management of marine areas and responsible fishing increases.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1300,Costa Rica,M.83.,"By 2017, a working platform will be established between national bodies involved in biodiversity information management.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1301,Costa Rica,M.84.,"By 2020, there will be an inventory of wetlands and assessment of their condition articulated in a platform.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1302,Costa Rica,M.85.,Develop a single national species register that is updated at least annually.,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1303,Costa Rica,M.86.,Complete the register of systematized collections (ex situ and in situ).,,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1304,Costa Rica,M.87.,"By 2018, there will be at least one new knowledge systematization mechanism established and articulated with the existing ones (SINAC, CONAGEBIO and Sustainable Production - MAG).",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1305,Costa Rica,M.88.,"By 2020, there will be at least one systematization of good practices on indigenous knowledge for the conservation and sustainable use of biodiversity for each of the eight indigenous peoples.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1306,Costa Rica,M.89.,"By 2018, there will be at least one monitoring protocol defined per taxon/species.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1307,Costa Rica,M.90.,"By 2020, species and conditions that allow the propagation of corals for their restoration will be determined.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1308,Costa Rica,M.91.,"By 2020, national investment in conservation and sustainable use of biodiversity will be increased to 1.6%.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
1309,Costa Rica,M.92.,"By 2017, there will be four additional staff members in CONAGEBIO for ENBS2 (Acronym in Spanish) follow-up.",,,0,Costa Rica,Adaptation,Guideline 1,"By 2030, platforms have been enabled to facilitate access to climate information and services to all types of audiences using language and examples that are relevant and appropriate for the different realities and worldviews of the country. ",#No.,
