index,Country,Target Text,Target Name,Document,Source,Convention,Doc,Type,Target Textt,index,Themes,Texts,Area,Textt,generated_sample
10,Belarus,"Land use change taking into account sensitivity and vulnerability of agricultural soils to increased drought and drought events, compaction, water and wind erosion (including increasing landscape diversity, especially in areas prone to wind erosion), revision of the system of cadastral land valuation taking into account climate change",24.2.,draft NDC 3.0,,agriculture,NDC,NDC targets,"Land use change taking into account sensitivity and vulnerability of agricultural soils to increased drought and drought events, compaction, water and wind erosion (including increasing landscape diversity, especially in areas prone to wind erosion), revision of the system of cadastral land valuation taking into account climate change",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
11,Belarus,"Optimization of crops, agricultural crops and agrotechnical practices, as well as breed composition, nutrition and housing conditions of farm animals, taking into account changing climatic conditions; strengthening and development of plant protection services, especially at the borders of the current areas of distribution of major climate-dependent pests and pathogens of agricultural crops",24.5.,draft NDC 3.0,,agriculture,NDC,NDC targets,"Optimization of crops, agricultural crops and agrotechnical practices, as well as breed composition, nutrition and housing conditions of farm animals, taking into account changing climatic conditions; strengthening and development of plant protection services, especially at the borders of the current areas of distribution of major climate-dependent pests and pathogens of agricultural crops",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
12,Belarus,Renovarion and optimization of the land reclamation system taking into account long-term climate change trends and water use priorities within the framework of the integrated water resources management strategy of Belarus,25.1.3.1.,draft NDC 3.0,,agriculture,NDC,NDC targets,Renovarion and optimization of the land reclamation system taking into account long-term climate change trends and water use priorities within the Global Biodiversity Framework of the integrated water resources management strategy of the country,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
13,Belarus,Changing land use patterns where reconstruction of melioration systems and facilities is inexpedient due to economic and environmental considerations,25.1.3.4.,draft NDC 3.0,,agriculture,NDC,NDC targets,Changing land use patterns where reconstruction of melioration systems and facilities is inexpedient due to economic and environmental considerations,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
14,Belarus,"Restoration of lands disturbed as a result of large-scale drainage reclamation (reduction of areas with destroyed fertile layer, application of forest reclamation to reduce wind erosion, control over the condition of drained peatlands in fire-prone periods, etc.).",25.1.3.6.,draft NDC 3.0,,agriculture,NDC,NDC targets,"Restoration of lands disturbed as a result of large-scale drainage reclamation (reduction of areas with destroyed fertile layer, application of forest reclamation to reduce wind erosion, control over the condition of drained peatlands in fire-prone periods, etc.).",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
15,Belarus,Increasing the forest cover of Belarus to 41.0% by 2030 and to 42.0% by 2050;,Forestry 1,draft NDC 3.0,,forestry,NDC,NDC targets,Increasing the forest cover of the country to 41.0% by 2030 and to 42.0% by 2050;,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
16,Belarus,"Increase share of coniferous (up to 60 and 62%) and hardwood (up to 5.0 and 5.5%) plantations in the forest fund, decrease of softwood stands (up to 34 and 30.5%) by 2030 and 2050, respectively.",Forestry 2,draft NDC 3.0,,forestry,NDC,NDC targets,"Increase share of coniferous (up to 60 and 62%) and hardwood (up to 5.0 and 5.5%) plantations in the forest fund, decrease of softwood stands (up to 34 and 30.5%) by 2030 and 2050, respectively.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
17,Belarus,Increase in forest productivity: up to 230 m3/ha by 2030 and to 235 m3/ha by 2050,Forestry 3,draft NDC 3.0,,forestry,NDC,NDC targets,Increase in forest productivity: up to 230 m3/ha by 2030 and to 235 m3/ha by 2050,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
18,Belarus,"Increase area of clear-cut logging to 33% of the total area of all main-use logging by 2030, and to 35% by 2050",Forestry 4,draft NDC 3.0,,forestry,NDC,NDC targets,"Increase area of clear-cut logging to 33% of the total area of all main-use logging by 2030, and to 35% by 2050",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
19,Belarus,Increase the share of natural regeneration in total forest regeneration to 47% by 2030 and 50% by 2050,Forestry 5,draft NDC 3.0,,forestry,NDC,NDC targets,Increase the share of natural regeneration in total forest regeneration to 47% by 2030 and 50% by 2050,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
20,Belarus,"Afforestation on areas of unused, low-productive or low-productive agricultural land transferred for forest management",Forestry 6,draft NDC 3.0,,forestry,NDC,NDC targets,"Afforestation on areas of unused, low-productive or low-productive agricultural land transferred for forest management",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
21,Belarus,Transfer of areas with woody and shrub vegetation on agricultural land for sustainable forest management,Forestry 7,draft NDC 3.0,,forestry,NDC,NDC targets,Transfer of areas with woody and shrub vegetation on agricultural land for sustainable forest management,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
22,Belarus,Exclusion for a long term forest areas (typical and rare habitats) from forest management,Forestry 8,draft NDC 3.0,,forestry,NDC,NDC targets,Exclusion for a long term forest areas (typical and rare habitats) from forest management,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
23,Belarus,Utilization for fuel purposes of timber harvested during the removal of litter and cuttings from main-use logging operations,Forestry 9,draft NDC 3.0,,forestry,NDC,NDC targets,Utilization for fuel purposes of timber harvested during the removal of litter and cuttings from main-use logging operations,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
