index,Country,Target Text,Target Name,Document,Source,Convention,Target Textt,index,Themes,Texts,Area,Textt,generated_sample
10,Sri Lanka,"Eliminate, minimize, reduce, and mitigate the impacts of known or potentially invasive alien species (IAS) on biodiversity and ecosystem services, by identifying and managing pathways to prevent introductions by 50% and minimizing the establishment and/or spread of IAS, by using scientifically accepted or traditionally tested participatory approaches, backed by capacity building",NBT 6,Draft NBTs,,Nature,"Eliminate, minimize, reduce, and mitigate the impacts of known or potentially invasive alien species (Invasive Alien Species) on biodiversity and ecosystem services, by identifying and managing pathways to prevent introductions by 50% and minimizing the establishment and/or spread of Invasive Alien Species, by using scientifically accepted or traditionally tested participatory approaches, backed by capacity building",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
11,Sri Lanka,"Reduce pollution risks from identified sources to levels that are not harmful to biodiversity and ecosystem functions and services by 2030, backed by laws, regulations, waste management and other measures, to reduce pollution from waste and hazardous chemicals (by half), oil, plastics, agro-chemicals, and excess nutrients, using appropriate methods based on science and traditional knowledge",NBT 7,Draft NBTs,,Nature,"Reduce pollution risks from identified sources to levels that are not harmful to biodiversity and ecosystem functions and services by 2030, backed by laws, regulations, waste management and other measures, to reduce pollution from waste and hazardous chemicals (by half), oil, plastics, agro-chemicals, and excess nutrients, using appropriate methods based on science and traditional knowledge",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
12,Sri Lanka,"Minimize the impact of climate change on all levels of biodiversity, and increase their resilience through mitigation, adaptation, disaster risk reduction, and habitat conservation; supported by nature-based solutions, and ecosystem-based approaches, while minimizing negative and fostering positive impacts of climate action on biodiversity",NBT 8,Draft NBTs,,Nature,"Minimize the impact of climate change on all levels of biodiversity, and increase their resilience through mitigation, adaptation, disaster risk reduction, and habitat conservation; supported by nature-based solutions, and ecosystem-based approaches, while minimizing negative and fostering positive impacts of climate action on biodiversity",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",1
13,Sri Lanka,"Ensure that the management and use of wild species are sustainable and legal, thereby providing increased social, economic and environmental benefits for people, especially those heavily dependent on biodiversity, through sustainable biodiversity-based activities, products and services that enhance biodiversity and livelihoods, backed by laws and regulations while protecting sustainable customary, and traditional use by local communities",NBT 9,Draft NBTs,,Nature,"Ensure that the management and use of wild species are sustainable and legal, thereby providing increased social, economic and environmental benefits for people, especially those heavily dependent on biodiversity, through sustainable biodiversity-based activities, products and services that enhance biodiversity and livelihoods, backed by laws and regulations while protecting sustainable customary, and traditional use by local communities",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
14,Sri Lanka,"Ensure that areas under agriculture, aquaculture, fisheries, mining, tourism, renewable energy generation, and forestry are managed sustainably and cause minimum impact on ecosystems and wild species; promoting food security, all forms of nature-based tourism; conserving and restoring biodiversity, and maintaining ecosystem functions and services to benefit people",NBT 10,Draft NBTs,,Nature,"Ensure that areas under agriculture, aquaculture, fisheries, mining, tourism, renewable energy generation, and forestry are managed sustainably and cause minimum impact on ecosystems and wild species; promoting food security, all forms of nature-based tourism; conserving and restoring biodiversity, and maintaining ecosystem functions and services to benefit people",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",1
15,Sri Lanka,"Restore, maintain and enhance nature’s contributions to people, such as ecosystem functions and services, by the use of nature-based solutions and ecosystem-based approaches, for the benefit of all people and nature",NBT 11,Draft NBTs,,Nature,"Restore, maintain and enhance nature’s contributions to people, such as ecosystem functions and services, by the use of nature-based solutions and ecosystem-based approaches, for the benefit of all people and nature",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",1
16,Sri Lanka,"By 2030, significantly and sustainably increase and conserve the area, landscape quality, connectivity with nature, access to and benefits from green and blue spaces in urban and other densely populated areas, by mainstreaming the conservation and sustainable use of biodiversity and adopting biodiversity-inclusive sustainable urban planning; enabling biodiversity conservation, inclusive and sustainable urbanization, and enhancing human health and the quality of life",NBT 12,Draft NBTs,,Nature,"By 2030, significantly and sustainably increase and conserve the area, landscape quality, connectivity with nature, access to and benefits from green and blue spaces in urban and other densely populated areas, by mainstreaming the conservation and sustainable use of biodiversity and adopting biodiversity-inclusive sustainable urban planning; enabling biodiversity conservation, inclusive and sustainable urbanization, and enhancing human health and the quality of life",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
17,Sri Lanka,"Take effective legal, policy, administrative and capacity-building action, to mainstream and ensure the fair and equitable sharing of monetary and non- monetary benefits that arise from the utilization of biological material—including genetic resources and derivative—for commercial use of its genetic material, biochemical features and/or related information value, including DSI and traditional knowledge associated with genetic resources, within the framework of national laws and policies, with the necessary safety procedures in place",NBT 13,Draft NBTs,,Nature,"Take effective legal, policy, administrative and capacity-building action, to mainstream and ensure the fair and equitable sharing of monetary and non- monetary benefits that arise from the utilization of biological material—including genetic resources and derivative—for commercial use of its genetic material, biochemical features and/or related information value, including DSI and traditional knowledge associated with genetic resources, within the Global Biodiversity Framework of national laws and policies, with the necessary safety procedures in place",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
18,Sri Lanka,"Ensure the integration of varied biodiversity considerations and its multiple values into national policies, legal framework, strategies, plans, pollution control, strategic and environmental impact assessments, and all development processes, to allow informed biodiversity inclusive decision making, and national accounting if appropriate; influencing fiscal and financial flows to support the 2030 National Biodiversity Targets, with the required awareness and transformative communication",NBT 14,Draft NBTs,,Nature,"Ensure the integration of varied biodiversity considerations and its multiple values into national policies, legal Global Biodiversity Framework, strategies, plans, pollution control, strategic and environmental impact assessments, and all development processes, to allow informed biodiversity inclusive decision making, and national accounting if appropriate; influencing fiscal and financial flows to support the 2030 National Biodiversity Targets, with the required awareness and transformative communication",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
19,Sri Lanka,"Take legal, administrative, and policy measures including incentives as appropriate for the varied levels of business to disclose and mitigate risks and negative impacts on biodiversity; while enabling benefiting, and benefiting from biodiversity; using nationally accepted procedures, standards, tools, mechanisms and incentives; to promote sustainable patterns of production to benefit the national economy",NBT 15,Draft NBTs,,Nature,"Take legal, administrative, and policy measures including incentives as appropriate for the varied levels of business to disclose and mitigate risks and negative impacts on biodiversity; while enabling benefiting, and benefiting from biodiversity; using nationally accepted procedures, standards, tools, mechanisms and incentives; to promote sustainable patterns of production to benefit the national economy",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
20,Sri Lanka,"Ensure people are encouraged and enabled to make sustainable consumption choices, using various approaches supported by policy, legislative or regulatory frameworks; and responsible communication, education and access to information; thereby reducing the national consumption footprint and improving the well-being of people",NBT 16,Draft NBTs,,Nature,"Ensure people are encouraged and enabled to make sustainable consumption choices, using various approaches supported by policy, legislative or regulatory frameworks; and responsible communication, education and access to information; thereby reducing the national consumption footprint and improving the well-being of people",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland, seagrass, coral reef and mangrove restoration, and sustainable fishery.",0
